rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
m/liberty_kid,Liberty Kid,2008,2017,Fresh,Upright,"['Art House & International', 'Drama']"
m/liberty_stands_still,Liberty Stands Still,2002,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/librarian_quest_for_the_spear,The Librarian: Quest for the Spear,2004,2016,Fresh,Spilled,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Television']"
m/licence_to_kill,Licence To Kill,1989,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/license_to_drive,License to Drive,1988,2015,Rotten,Upright,['Comedy']
m/lickerish_quartet,The Lickerish Quartet,1970,2019,Fresh,Spilled,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/lies_and_alibis,Lies & Alibis,2006,2014,Rotten,Spilled,"['Comedy', 'Drama']"
m/life-of-pi,Life of Pi,2012,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Drama']"
m/life_2014,Life,2015,2016,Fresh,Spilled,['Drama']
m/life_2017,Life,2017,2017,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']"
m/life_2_0,Life 2,2011,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
m/life_above_all_2010,"Life, Above All",2011,2013,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/life_after_beth,Life After Beth,2014,2016,Rotten,Spilled,['Comedy']
m/life_after_flash,Life After Flash,0,2019,Fresh,Upright,['Documentary']
m/life_and_death_of_colonel_blimp,The Life and Death of Colonel Blimp,1943,2017,Fresh,Upright,"['Classics', 'Drama']"
m/life_and_times_of_judge_roy_bean,The Life and Times of Judge Roy Bean,1972,2017,Fresh,Upright,"['Classics', 'Comedy', 'Western']"
m/life_animated,"Life, Animated",2016,2016,Certified-Fresh,Upright,['Documentary']
m/life_aquatic,The Life Aquatic with Steve Zissou,2004,2015,Rotten,Upright,"['Action & Adventure', 'Comedy', 'Drama']"
m/life_as_a_house,Life as a House,2001,2011,Rotten,Upright,['Drama']
m/life_before_her_eyes,The Life Before Her Eyes,2007,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/life_during_wartime,Life During Wartime,1997,2012,Rotten,Spilled,"['Comedy', 'Drama']"
m/life_in_a_metro,Life in a... Metro,2007,2018,Rotten,Upright,"['Art House & International', 'Drama']"
m/life_inside_out_2013,Life Inside Out,2014,2017,Fresh,Upright,['Drama']
m/life_is_hot_in_cracktown,Life Is Hot in Cracktown,2009,2009,Rotten,Spilled,['Drama']
m/life_itself,Life Itself,2014,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest', 'Television']"
m/life_less_ordinary,A Life Less Ordinary,1997,2015,Rotten,Spilled,"['Comedy', 'Drama', 'Science Fiction & Fantasy', 'Romance']"
m/life_of_a_king_2013,Life of a King,2014,2016,Rotten,Upright,['Drama']
m/life_of_crime_2013,Life Of Crime,2014,2016,Fresh,Spilled,"['Comedy', 'Drama']"
m/life_of_david_gale,The Life of David Gale,2003,2015,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/life_of_emile_zola,The Life of Emile Zola,1937,2015,Fresh,Upright,"['Classics', 'Drama']"
m/life_of_riley,Life of Riley,2014,2017,Fresh,Spilled,['Drama']
m/life_of_the_party_2018,Life of the Party,2018,2018,Rotten,Spilled,['Comedy']
m/life_on_the_line_2016,Life on the Line,2016,2015,Rotten,Spilled,"['Action & Adventure', 'Drama']"
m/life_or_something_like_it,Life or Something Like It,2002,2015,Rotten,Spilled,"['Comedy', 'Romance']"
m/life_overtakes_me,Life Overtakes Me,0,2019,Fresh,Upright,['Documentary']
m/life_partners,Life Partners,2014,2016,Fresh,Spilled,"['Comedy', 'Drama', 'Romance']"
m/life_stinks,Life Stinks,1991,2015,Rotten,Spilled,['Comedy']
m/life_tracker,Life Tracker,2013,2016,Fresh,Upright,['Science Fiction & Fantasy']
m/life_with_father,Life With Father,1947,2014,Fresh,Upright,"['Classics', 'Comedy']"
m/life_with_mikey,Life with Mikey,1993,2016,Rotten,Spilled,['Comedy']
m/lifeboat,Lifeboat,1944,2016,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']"
m/lifechanger,Lifechanger,2018,2019,Fresh,Spilled,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/lifeforce,Lifeforce,1985,2016,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']"
m/lifeguard,Lifeguard,1976,2016,Rotten,Upright,['Drama']
m/lifes_a_breeze_2013,Life's a Breeze,2014,2015,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama']"
m/light_at_the_edge_of_the_world,At the Edge of the World,2009,2011,Fresh,Spilled,"['Documentary', 'Special Interest']"
m/light_it_up,Light It Up,1999,2012,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/light_of_my_life,Light of My life,2019,2019,Certified-Fresh,Upright,['Drama']
m/light_sleeper,Light Sleeper,1992,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/lightning_bug,Lightning Bug,2004,2016,Rotten,Upright,"['Drama', 'Horror', 'Mystery & Suspense']"
m/lightning_over_water,Lightning Over Water,1980,2003,Fresh,Upright,"['Documentary', 'Special Interest', 'Television']"
m/lights_out_2016,Lights Out,2016,2016,Certified-Fresh,Upright,['Horror']
m/like-dandelion-dust,Like Dandelion Dust,2010,2012,Fresh,Upright,"['Drama', 'Kids & Family']"
m/like_a_boss,Like a Boss,2020,0,,,['Comedy']
m/like_crazy,Like Crazy,2011,2014,Certified-Fresh,Upright,"['Drama', 'Romance']"
m/like_father_2018,Like Father,2018,2018,Rotten,Spilled,['Comedy']
m/like_father_like_son_2013,"Like Father, Like Son",2014,2017,Certified-Fresh,Upright,['Drama']
m/like_me,Like Me,2018,2018,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/like_mike,Like Mike,2002,2015,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/like_minds,Like Minds (Murderous Intent),2006,2016,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/like_someone_in_love,Like Someone in Love,2013,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/like_stars_on_earth,Like Stars on Earth,2007,2018,Fresh,Upright,"['Art House & International', 'Drama']"
m/like_sunday_like_rain,"Like Sunday, Like Rain",2015,2015,Rotten,Upright,"['Drama', 'Musical & Performing Arts']"
m/like_water_for_chocolate,Like Water for Chocolate (Como Agua para Chocolate),1992,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Romance']"
m/lil_quinquin,Li'l Quinquin,0,0,Fresh,Upright,['Drama']
m/lila_and_eve,Lila & Eve,2015,2016,Rotten,Spilled,['Drama']
m/lila_lila,"Lila, Lila",2014,2019,Fresh,Upright,"['Art House & International', 'Comedy']"
m/lila_says,Lila Says,2005,2017,Fresh,Upright,"['Art House & International', 'Drama']"
m/lili,Lili,1953,2016,Fresh,Upright,"['Classics', 'Drama', 'Musical & Performing Arts', 'Romance']"
m/lilith,Lilith,1964,2013,Fresh,Upright,"['Classics', 'Drama']"
m/lilo_and_stitch,Lilo & Stitch,2002,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Comedy']"
m/lilo_and_stitch_2,Lilo & Stitch 2: Stitch Has a Glitch,2005,2016,Rotten,Spilled,"['Animation', 'Kids & Family']"
m/lilting,Lilting,2014,2016,Certified-Fresh,Upright,['Drama']
m/limbo_1999,Limbo,1999,2013,Fresh,Upright,['Drama']
m/limelight,Limelight,1952,2017,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
m/limelight_2011,Limelight,2011,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/limey,The Limey,0,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/limitless,Limitless,2011,2011,Fresh,Upright,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
m/limits_of_control,The Limits of Control,2009,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/lincoln_2011,Lincoln,2012,2015,Certified-Fresh,Upright,['Drama']
m/lincoln_lawyer,The Lincoln Lawyer,2011,2015,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/linda_ronstadt_the_sound_of_my_voice,Linda Ronstadt: The Sound of My Voice,2019,2019,Certified-Fresh,,['Documentary']
m/line_of_duty_2019,Line of Duty,2019,2019,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
m/linsanity_2013,Linsanity,2013,2014,Fresh,Upright,"['Documentary', 'Sports & Fitness']"
m/lion_2016,Lion,2016,2017,Certified-Fresh,Upright,['Drama']
m/lion_king_1_12,The Lion King 1 1/2,2004,2017,Fresh,Upright,"['Animation', 'Kids & Family']"
m/lion_of_the_desert,Lion of the Desert (Omar Mukhtar),1981,2017,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
m/lionheart_1990,Lionheart,1991,2016,Rotten,Spilled,['Action & Adventure']
m/lions_for_lambs,Lions for Lambs,2007,2017,Rotten,Spilled,['Drama']
m/lipstick,Lipstick,1976,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/lipstick_and_dynamite_the_first_ladies_of_wrestling,Lipstick & Dynamite: The First Ladies of Wrestling,2004,2017,Fresh,Spilled,"['Classics', 'Comedy', 'Documentary', 'Sports & Fitness']"
m/listen_up_philip,Listen Up Philip,2014,2016,Certified-Fresh,Spilled,['Drama']
m/listening_2014,Listening,2015,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/literally_right_before_aaron,"Literally, Right Before Aaron",2017,2017,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
m/little-fauss-and-big-halsy,Little Fauss and Big Halsy,1970,2016,Rotten,Spilled,"['Action & Adventure', 'Drama']"
m/little_2019,Little,2019,2019,Rotten,Upright,['Comedy']
m/little_accidents_2015,Little Accidents,2015,2016,Rotten,Spilled,['Drama']
m/little_ashes,Little Ashes,2009,2017,Rotten,Spilled,['Drama']
m/little_big_league,Little Big League,1994,2011,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/little_big_man,Little Big Man,1970,2019,Fresh,Upright,"['Action & Adventure', 'Classics', 'Western']"
m/little_big_soldier,Little Big Soldier (Da bing xiao jiang),2011,2016,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Comedy']"
m/little_birds,Little Birds,2012,2017,Rotten,Spilled,['Drama']
m/little_black_book,Little Black Book,2004,2011,Rotten,Spilled,['Comedy']
m/little_boy_2015,Little Boy,2015,2015,Rotten,Upright,['Drama']
m/little_boy_blue,Little Boy Blue,1998,2006,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/little_buddha,Little Buddha,1994,2016,Fresh,Spilled,"['Art House & International', 'Drama']"
m/little_caesar,Little Caesar,1931,2016,Fresh,Upright,"['Classics', 'Drama']"
m/little_children,Little Children,2006,2010,Certified-Fresh,Upright,"['Comedy', 'Drama']"
m/little_dieter_needs_to_fly_escape_from_laos,Little Dieter Needs to Fly: Escape from Laos,1998,2017,Fresh,Upright,['Documentary']
m/little_evil,Little Evil,2017,2017,Fresh,Spilled,"['Comedy', 'Horror']"
m/little_fockers,Little Fockers,2010,2016,Rotten,Spilled,['Comedy']
m/little_foxes,The Little Foxes,1941,2017,Fresh,Upright,"['Classics', 'Drama']"
m/little_fugitive_1953,Little Fugitive,1953,2008,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
m/little_giants,Little Giants,1994,2017,Rotten,Upright,"['Comedy', 'Kids & Family']"
m/little_girl_who_lives_down_the_lane,The Little Girl Who Lives Down the Lane,1976,2018,Fresh,Upright,"['Art House & International', 'Classics', 'Drama', 'Horror', 'Mystery & Suspense']"
m/little_italy_2018,Little Italy,2018,2018,Rotten,Spilled,"['Comedy', 'Romance']"
m/little_jerusalem,Little Jerusalem,2006,2016,Fresh,Upright,"['Art House & International', 'Drama']"
m/little_joe,Little Joe,2019,2019,Fresh,Spilled,"['Drama', 'Science Fiction & Fantasy']"
m/little_man,Little Man,2006,2012,Rotten,Spilled,['Comedy']
m/little_man_2005,Little Man,2005,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
m/little_man_tate,Little Man Tate,1991,2017,Fresh,Upright,"['Drama', 'Kids & Family']"
m/little_manhattan,Little Manhattan,2005,2015,Fresh,Upright,"['Comedy', 'Drama', 'Kids & Family', 'Romance']"
m/little_men_1998,Little Men,1998,2017,Rotten,Upright,"['Documentary', 'Drama', 'Kids & Family']"
m/little_men_2016,Little Men,2016,2016,Certified-Fresh,Upright,['Drama']
m/little_mermaid_ariels_beginning,The Little Mermaid: Ariel's Beginning,2008,2017,Rotten,Spilled,"['Animation', 'Kids & Family']"
m/little_miss_sunshine,Little Miss Sunshine,2006,2015,Certified-Fresh,Upright,['Comedy']
m/little_monsters,Little Monsters,1989,2016,Rotten,Upright,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
m/little_monsters_2019,Little Monsters,2019,2019,Certified-Fresh,,"['Comedy', 'Horror']"
m/little_nicky,Little Nicky,2000,2016,Rotten,Spilled,['Comedy']
m/little_nikita,Little Nikita,1988,2012,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/little_odessa,Little Odessa,1995,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/little_pink_house,Little Pink House,2018,2018,Fresh,Upright,['Drama']
m/little_red_wagon_2012,Little Red Wagon,2012,2016,Rotten,Upright,"['Drama', 'Kids & Family']"
m/little_secrets,Little Secrets,2002,2016,Fresh,Spilled,"['Comedy', 'Drama', 'Kids & Family']"
m/little_sister_2016,Little Sister,2016,2017,Fresh,Spilled,['Comedy']
m/little_vampire,The Little Vampire,2000,2010,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family']"
m/little_voice,Little Voice,1998,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/little_white_lie,Little White Lie,2014,2016,Fresh,Upright,"['Documentary', 'Drama', 'Kids & Family', 'Special Interest']"
m/little_white_lies,Little White Lies,2012,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/little_women_2018,Little Women,2018,2018,Rotten,Upright,['Drama']
m/little_woods,Little Woods,2019,2019,Certified-Fresh,Spilled,['Drama']
m/littlerock,Littlerock,2011,2016,Fresh,Upright,"['Comedy', 'Drama']"
m/littlest_rebel,The Littlest Rebel,1935,2016,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Kids & Family', 'Musical & Performing Arts']"
m/live_and_let_die,Live and Let Die,1973,2016,Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
m/live_at_the_foxes_den,Live At The Foxes Den,2013,2016,Rotten,Upright,['Drama']
m/live_by_night,Live By Night,2017,2017,Rotten,Spilled,['Drama']
m/live_die_repeat_edge_of_tomorrow,Live Die Repeat: Edge of Tomorrow,2014,2015,Certified-Fresh,Upright,"['Drama', 'Science Fiction & Fantasy']"
m/live_flesh,Live Flesh (Carne trémula),1998,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/live_forever,Live Forever (Live Forever: The Rise and Fall of Brit Pop),2003,2017,Fresh,Upright,"['Art House & International', 'Documentary', 'Musical & Performing Arts']"
m/live_free_or_die_hard,Live Free or Die Hard,2007,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
m/live_in_maid,Live-In Maid,2007,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/live_nude_girls,Live Nude Girls,1995,2017,Rotten,Spilled,['Comedy']
m/live_nude_girls_unite,Live Nude Girls Unite!,2000,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/live_twice_love_once,"Live Twice, Love Once (Vivir dos veces)",0,0,Rotten,Upright,"['Comedy', 'Drama']"
m/living_among_us,Living Among Us,2018,2018,Rotten,Upright,['Horror']
m/living_daylights,The Living Daylights,1987,2016,Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
m/living_in_emergency_stories_of_doctors_without_borders,Living in Emergency: Stories of Doctors Without Borders,2010,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/living_in_oblivion,Living in Oblivion,1995,2017,Fresh,Upright,"['Comedy', 'Drama']"
m/living_is_easy_with_eyes_closed,Living Is Easy With Eyes Closed,2014,2016,Fresh,Upright,"['Art House & International', 'Drama']"
m/living_out_loud,Living Out Loud,1998,2015,Rotten,Upright,"['Comedy', 'Drama']"
m/living_wake,The Living Wake,2010,2017,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/liyana,Liyana,2018,2019,Fresh,Upright,"['Animation', 'Art House & International', 'Documentary']"
m/liz_and_dick,Liz & Dick,2012,0,Rotten,Spilled,"['Drama', 'Television']"
m/lizzie_2018,Lizzie,2018,2018,Fresh,Spilled,['Drama']
m/lizzie_borden_took_an_ax,Lizzie Borden Took an Ax,0,2014,Rotten,Spilled,"['Drama', 'Television']"
m/lizzie_mcguire_movie,The Lizzie McGuire Movie,2003,2016,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/lloyd_the_conqueror,Lloyd The Conqueror,0,2016,Fresh,Spilled,['Comedy']
m/lo_and_behold_reveries_of_the_connected_world,"Lo and Behold, Reveries of the Connected World",2016,2016,Certified-Fresh,Upright,['Documentary']
m/local_color,Local Color,2006,2015,Rotten,Spilled,['Drama']
m/local_hero,Local Hero,1983,2013,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/lock_stock_and_two_smoking_barrels,"Lock, Stock and Two Smoking Barrels",1999,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']"
m/locke,Locke,2014,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/locker_13,Locker 13,2014,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/lockout_2012,Lockout,2012,2014,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/loco_love,Loco Love,2003,2015,Rotten,Spilled,"['Comedy', 'Romance']"
m/locusts,The Locusts,1997,2018,Rotten,Spilled,['Drama']
m/logan_2017,Logan,2017,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']"
m/logan_lucky,Logan Lucky,2017,2017,Certified-Fresh,Upright,['Comedy']
m/logans_run,Logan's Run,1976,2008,Fresh,Upright,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']"
m/loggerheads,Loggerheads,2005,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Romance']"
m/loins_of_punjab_presents,Loins of Punjab Presents,2007,2016,Fresh,Upright,"['Comedy', 'Drama']"
m/loitering_with_intent,Loitering With Intent,2015,2015,Rotten,Spilled,"['Comedy', 'Drama']"
m/lol,LOL,2006,2017,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama']"
m/lol_2012,LOL,2012,2015,Rotten,Spilled,['Comedy']
m/lola_versus,Lola Versus,2012,2015,Rotten,Spilled,['Comedy']
m/london-boulevard,London Boulevard,2011,2013,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/london-mon-amour-mes-amis-mes-amours,"London mon amour (Mes amis, mes amours)",2008,2015,Fresh,Spilled,"['Art House & International', 'Comedy', 'Romance']"
m/london_fields,London Fields,2018,2019,Rotten,Spilled,['Mystery & Suspense']
m/london_has_fallen,London Has Fallen,2016,2016,Rotten,Spilled,['Action & Adventure']
m/london_river,London River,2011,2017,Fresh,Upright,"['Art House & International', 'Drama']"
m/london_the_modern_babylon,London: The Modern Babylon,2013,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
m/london_town_2016,London Town,2016,2017,Rotten,Upright,['Drama']
m/londons_finest,London's Finest (Hackney's Finest),0,2017,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']"
m/lone_ranger_and_the_lost_city_of_gold,The Lone Ranger and the Lost City of Gold,1958,2014,Fresh,Upright,"['Classics', 'Western']"
m/lone_survivor,Lone Survivor,2014,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Drama']"
m/lone_wolf_and_cub_baby_cart_at_the_river_styx,Lone Wolf and Cub - Baby Cart at the River Styx (Kozure Ôkami: Sanzu no kawa no ubaguruma) (Shogun Assassin),1972,2016,Fresh,Upright,"['Action & Adventure', 'Art House & International']"
m/lone_wolf_and_cub_sword_of_vengeance,Lone Wolf and Cub - Sword of Vengeance (Kozure Ôkami: Kowokashi udekashi tsukamatsuru),1972,2016,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama']"
m/lone_wolf_mcquade,Lone Wolf McQuade,1983,2016,Rotten,Upright,"['Action & Adventure', 'Drama']"
m/loneliness_of_the_long_distance_runner,The Loneliness of the Long Distance Runner,1962,2016,Fresh,Upright,"['Classics', 'Drama']"
m/lonely_are_the_brave,Lonely are the Brave,1962,2015,Fresh,Upright,"['Drama', 'Western']"
m/lonely_guy,The Lonely Guy,1984,2016,Rotten,Spilled,['Comedy']
m/lonely_hearts,Lonely Hearts,2006,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/lonesome_jim,Lonesome Jim,2006,2016,Fresh,Spilled,"['Comedy', 'Drama']"
m/long-weekend-2008,Long Weekend (Nature's Grave),2008,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/long_gray_line,The Long Gray Line,1955,2012,Fresh,Upright,"['Classics', 'Drama']"
m/long_kiss_goodnight,The Long Kiss Goodnight,1996,2018,Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
m/long_life_happiness_and_prosperity,"Long Life, Happiness & Prosperity",2004,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama', 'Kids & Family', 'Romance']"
m/long_long_trailer,"The Long, Long Trailer",0,2012,Rotten,Upright,"['Classics', 'Comedy', 'Romance']"
m/long_lost,Long Lost,2019,2019,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/long_riders,The Long Riders,1980,2016,Fresh,Upright,"['Action & Adventure', 'Western']"
m/long_ships,The Long Ships,1964,2012,Rotten,Spilled,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']"
m/long_shot_2019,Long Shot,2019,2019,Certified-Fresh,Upright,['Comedy']
m/long_shot_the_kevin_laue_story_2012,Long Shot The Kevin Laue Story,2012,2018,Fresh,Upright,['Documentary']
m/long_time_coming_a_1955_baseball_story,Long Time Coming: A 1955 Baseball Story,2018,2019,Fresh,Upright,"['Documentary', 'Sports & Fitness']"
m/long_way_north,Long Way North (Tout en haut du monde),2016,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Art House & International']"
m/long_weekend_1979,Long Weekend,1979,2018,Fresh,Upright,"['Horror', 'Mystery & Suspense']"
m/longest_day,The Longest Day,1962,2015,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
m/longest_yard,The Longest Yard,2005,2014,Rotten,Upright,"['Comedy', 'Drama']"
m/longing_2018,Longing,2018,2018,Fresh,,['Drama']
m/longshots,The Longshots,2008,2017,Rotten,Upright,"['Comedy', 'Drama']"
m/look_at_us_now_mother,"Look at Us Now, Mother!",2016,2017,Fresh,Upright,['Documentary']
m/look_away,Look Away,2018,2018,Rotten,Spilled,['Mystery & Suspense']
m/look_whos_talking,Look Who's Talking,1989,2014,Rotten,Spilled,"['Comedy', 'Romance']"
m/look_whos_talking_now,Look Who's Talking Now,1993,2012,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/look_whos_talking_too,"Look Who's Talking, Too",1990,2013,Rotten,Spilled,['Comedy']
m/looker,Looker,1981,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/lookin_to_get_out,Lookin' to Get Out,1982,2014,Rotten,Spilled,['Comedy']
m/looking_for_an_echo,Looking for an Echo,1998,2019,Fresh,Upright,['Drama']
m/looking_for_comedy_in_the_muslim_world,Looking for Comedy in the Muslim World,2006,2011,Rotten,Spilled,['Comedy']
m/looking_for_eric,Looking for Eric,2010,2017,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Sports & Fitness']"
m/looking_for_palladin,Looking for Palladin,2008,2015,Rotten,Spilled,['Comedy']
m/looking_for_richard,Looking for Richard,1996,2015,Certified-Fresh,Upright,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']"
m/looking_glass_2017,Looking Glass,2018,2018,Rotten,Spilled,['Mystery & Suspense']
m/lookout,The Lookout,2007,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/looney_tunes_back_in_action,Looney Tunes: Back in Action,2003,2009,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
m/looper,Looper,2012,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/loopers_the_caddies_long_walk,Loopers: The Caddie's Long Walk,2019,2019,Fresh,,"['Documentary', 'Sports & Fitness']"
m/loose_cannons,Loose Cannons,1990,2012,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']"
m/loosies,Loosies,2012,2017,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
m/loot_2009,Loot,2009,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/lootera,Lootera,2013,2016,Fresh,Upright,"['Drama', 'Romance']"
m/lora-di-religione-il-sorriso-di-mia-madre-the-religion-hour-my-mothers-smile,L' Ora di Religione (Il Sorriso di Mia Madre) (The Religion Hour) (My Mother's Smile),2002,0,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/lord_byron,Lord Byron,2011,2017,Fresh,Spilled,"['Comedy', 'Drama']"
m/lord_jim_1965,Lord Jim,1965,2014,Rotten,Spilled,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']"
m/lord_of_illusions,Lord of Illusions,1995,2017,Fresh,Spilled,['Horror']
m/lord_of_the_flies,Lord of the Flies,1989,2017,Fresh,Spilled,"['Action & Adventure', 'Drama']"
m/lord_of_the_flies_1963,Lord of the Flies,1963,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']"
m/lord_of_the_rings,The Lord of the Rings,1978,2015,Rotten,Upright,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
m/lord_of_war,Lord of War,2005,2015,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/lords_of_chaos,Lords of Chaos,2019,2019,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/lords_of_discipline,The Lords of Discipline,1983,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/lords_of_dogtown,Lords of Dogtown,2005,2012,Rotten,Upright,"['Action & Adventure', 'Drama']"
m/lords_of_flatbush,The Lords of Flatbush,1974,2012,Fresh,Spilled,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/lore,Lore,2013,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/lorenzos_oil,Lorenzo's Oil,1992,2016,Fresh,Upright,['Drama']
m/lornas_silence,Lorna's Silence,2008,2012,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/loro_2019,Loro,2019,2019,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
m/los_angeles_plays_itself,Los Angeles Plays Itself,2003,2016,Certified-Fresh,Upright,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest', 'Television']"
