rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
m/beast_stalker,Ching yan (The Beast Stalker),2008,2019,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
m/beast_within,The Beast Within,1982,2016,Rotten,Spilled,['Horror']
m/beastly,Beastly,2011,2015,Rotten,Spilled,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
m/beastmaster,The Beastmaster,1982,2017,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
m/beasts_of_the_southern_wild,Beasts of the Southern Wild,2012,2015,Certified-Fresh,Upright,['Drama']
m/beat_street,Beat Street,1984,2017,Rotten,Upright,"['Drama', 'Musical & Performing Arts']"
m/beat_that_my_heart_skipped,De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped),2005,2005,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/beatles_a_hard_days_night,A Hard Day's Night,1964,2016,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Musical & Performing Arts']"
m/beatles_the_help,Help!,1965,2017,Fresh,Upright,"['Comedy', 'Musical & Performing Arts', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/beatles_the_yellow_submarine,Yellow Submarine,1968,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Comedy', 'Cult Movies', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/beats,Beats,0,2019,Fresh,Spilled,['Drama']
m/beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,Beats Rhymes & Life: The Travels of a Tribe Called Quest,2011,2013,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
m/beau_geste,Beau Geste,1939,2016,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
m/beautician_and_the_beast,The Beautician and the Beast,1997,2016,Rotten,Spilled,"['Comedy', 'Romance']"
m/beautiful-darling,Beautiful Darling,2011,2019,Fresh,Upright,"['Documentary', 'Special Interest', 'Television']"
m/beautiful_boxer,Beautiful Boxer,2005,2015,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama']"
m/beautiful_boy,Beautiful Boy,2011,2017,Fresh,Spilled,['Drama']
m/beautiful_country,The Beautiful Country,2005,2012,Certified-Fresh,Upright,['Drama']
m/beautiful_creatures,Beautiful Creatures,2001,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
m/beautiful_creatures_2013,Beautiful Creatures,2013,2014,Rotten,Spilled,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
m/beautiful_girls,Beautiful Girls,1996,2016,Certified-Fresh,Upright,"['Comedy', 'Drama']"
m/beautiful_kate,Beautiful Kate,2009,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
m/beautiful_losers,Beautiful Losers,2008,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/beautiful_mind,A Beautiful Mind,2001,2013,Certified-Fresh,Upright,['Drama']
m/beautiful_people,Beautiful People,2000,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/beautiful_something,Beautiful Something,2016,2016,Rotten,Spilled,"['Drama', 'Romance']"
m/beautiful_thing,Beautiful Thing,1996,2020,Fresh,Upright,"['Comedy', 'Drama']"
m/beautiful_truth,The Beautiful Truth,2008,2016,Rotten,Upright,"['Documentary', 'Drama', 'Special Interest']"
m/beautifully_broken,Beautifully Broken,2018,2018,Fresh,Upright,['Drama']
m/beauty-and-the-beast-the-enchanted-christmas,Beauty and the Beast - The Enchanted Christmas,1997,2016,Rotten,Spilled,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/beauty_and_the_beast_1991,Beauty and the Beast,1991,2016,Certified-Fresh,Upright,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
m/beauty_and_the_beast_2014,Beauty And The Beast (La belle et la bête),2016,2017,Rotten,Spilled,"['Mystery & Suspense', 'Science Fiction & Fantasy', 'Romance']"
m/beauty_and_the_beast_2017,Beauty and the Beast,2017,2017,Fresh,Upright,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
m/beauty_is_embarrassing,Beauty Is Embarrassing,2012,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest', 'Television']"
m/beavis_and_butt_head_do_america,Beavis and Butt-head Do America,1996,2013,Fresh,Upright,"['Animation', 'Comedy']"
m/bebes_kids,Bebe's Kids,1992,2016,Rotten,Upright,"['Animation', 'Comedy', 'Kids & Family']"
m/because_i_said_so,Because I Said So,2007,2015,Rotten,Upright,"['Comedy', 'Drama', 'Romance']"
m/because_of_winndixie,Because of Winn-Dixie,2005,2015,Rotten,Upright,"['Comedy', 'Drama', 'Kids & Family', 'Sports & Fitness']"
m/becket,Becket,1964,2012,Fresh,Upright,"['Classics', 'Drama']"
m/becks,Becks,2018,2018,Fresh,Upright,['Drama']
m/becky_2020,Becky,0,2020,Fresh,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
m/becoming_2020_2,Becoming,0,2020,Certified-Fresh,Spilled,['Documentary']
m/becoming_astrid,Becoming Astrid (Unga Astrid),2018,2019,Fresh,Upright,"['Art House & International', 'Drama']"
m/becoming_jane,Becoming Jane,2007,2016,Rotten,Upright,"['Drama', 'Romance']"
m/becoming_santa_2010,Becoming Santa,2011,2012,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/becoming_traviata,Becoming Traviata,2013,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
m/bedazzled_1967bedazzled_2000,Bedazzled,1967,2017,Fresh,Upright,"['Classics', 'Comedy', 'Science Fiction & Fantasy']"
m/bedford_incident,The Bedford Incident,1965,2012,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']"
m/bedknobs_and_broomsticks,Bedknobs and Broomsticks,1971,2016,Fresh,Upright,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/bedlam,Bedlam,1946,2012,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/bedroom_window,The Bedroom Window,1987,2016,Fresh,Spilled,['Mystery & Suspense']
m/bedrooms_and_hallways,Bedrooms and Hallways,1999,2017,Fresh,Upright,"['Comedy', 'Romance']"
m/bedtime_for_bonzo,Bedtime for Bonzo,1951,2016,Fresh,Spilled,"['Classics', 'Comedy']"
m/bedtime_stories,Bedtime Stories,2008,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
m/bee_movie,Bee Movie,2007,2015,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
m/bee_season,Bee Season,2005,2015,Rotten,Spilled,['Drama']
m/been_rich_all_my_life,Been Rich All My Life,2006,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/been_so_long,Been So Long,2018,2018,Fresh,Upright,"['Drama', 'Romance']"
m/beer_for_my_horses,Beer for My Horses,2008,2016,Rotten,Upright,['Comedy']
m/beer_league,Beer League,2006,2017,Rotten,Spilled,['Comedy']
m/beer_wars,Beer Wars,2009,2017,Fresh,Upright,"['Documentary', 'Drama', 'Special Interest']"
m/beerfest,Beerfest,2006,2015,Rotten,Upright,"['Comedy', 'Sports & Fitness']"
m/beeswax,Beeswax,2009,2017,Fresh,Spilled,"['Comedy', 'Drama']"
m/beethovens_2nd,Beethoven's 2nd,1994,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family']"
m/beethovens_3rd,Beethoven's 3rd,2000,2014,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/beethovens_4th,Beethoven's 4th,2001,2014,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/beetle_queen_conquers_tokyo,Beetle Queen Conquers Tokyo,2009,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
m/beetlejuice,Beetlejuice,1988,2008,Certified-Fresh,Upright,"['Comedy', 'Horror', 'Science Fiction & Fantasy']"
m/before_i_disappear_2014,Before I Disappear,2014,2015,Rotten,Upright,['Drama']
m/before_i_fall,Before I Fall,2017,2017,Fresh,Spilled,['Drama']
m/before_i_go_to_sleep,Before I Go to Sleep,2014,2015,Rotten,Spilled,['Mystery & Suspense']
m/before_midnight_2013,Before Midnight,2013,2014,Certified-Fresh,Upright,"['Drama', 'Romance']"
m/before_night_falls,Before Night Falls,2001,2011,Certified-Fresh,Upright,['Drama']
m/before_stonewall,Before Stonewall,2019,2016,Fresh,Upright,"['Documentary', 'Drama', 'Special Interest']"
m/before_sunrise,Before Sunrise,1995,2008,Certified-Fresh,Upright,"['Drama', 'Romance']"
m/before_sunset,Before Sunset,2004,2016,Certified-Fresh,Upright,"['Drama', 'Romance']"
m/before_the_devil_knows_youre_dead,Before the Devil Knows You're Dead,2007,2017,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/before_the_flood_2016,Before the Flood,2016,2016,Fresh,Upright,['Documentary']
m/before_we_go,Before We Go,2015,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
m/before_you_know_it_2013,Before You Know It,2014,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
