,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
9086,m/knuckle_2011,Knuckle,2011,2016,Certified-Fresh,Upright,"['Art House & International', 'Documentary', 'Drama']"
9087,m/knuckleball_2012,Knuckleball!,,2016,Fresh,Upright,"['Documentary', 'Sports & Fitness']"
9088,m/knucklehead,Knucklehead,2010,2016,Rotten,Spilled,"['Comedy', 'Drama']"
9089,m/knute_rockne_all_american,Knute Rockne---All American,1940,2017,Fresh,Upright,"['Classics', 'Drama']"
9090,m/koch_2012,Koch,2013,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
9091,m/kodachrome_2018,Kodachrome,,2018,Fresh,Upright,['Drama']
9092,m/koi-mil-gaya-i-found-someone,Koi... Mil Gaya (I Found Someone),2003,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Science Fiction & Fantasy']"
9093,m/kolobos,Kolobos,1999,2019,Fresh,Upright,['Horror']
9094,m/kolya,Kolya,1997,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9095,m/kon_tiki_2012,Kon Tiki,2013,2017,Certified-Fresh,Upright,['Drama']
9096,m/kong_skull_island,Kong: Skull Island,2017,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
9097,m/kontroll,Control (Kontroll),2005,2019,Certified-Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']"
9098,m/korengal,Korengal,2014,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
9099,m/korkoro,Korkoro,2011,2017,Fresh,Upright,"['Art House & International', 'Drama']"
9100,m/koyaanisqatsi_life_out_of_balance,Koyaanisqatsi - Life Out of Balance,1983,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
9101,m/kpax,K-PAX,2001,2014,Rotten,Upright,"['Comedy', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
9102,m/kramer_vs_kramer,Kramer vs. Kramer,1979,2012,Certified-Fresh,Upright,['Drama']
9103,m/krampus,Krampus,2015,,Fresh,Spilled,['Horror']
9104,m/krays,The Krays,,2018,Fresh,Upright,"['Action & Adventure', 'Drama']"
9105,m/kreutzer_sonata,The Kreutzer Sonata,2009,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
9106,m/kriemhilds_revenge,Die Nibelungen: Kriemhilds Rache (Kriemhild's Revenge),1924,2007,Fresh,Upright,"['Drama', 'Science Fiction & Fantasy']"
9107,m/krippendorfs_tribe,Krippendorf's Tribe,1998,2016,Rotten,Spilled,"['Comedy', 'Kids & Family']"
9108,m/kris-crisis,Kris (Crisis),1946,2019,Rotten,Spilled,"['Art House & International', 'Drama']"
9109,m/kronks_new_groove,Kronk's New Groove,2005,2016,Rotten,Spilled,"['Animation', 'Kids & Family']"
9110,m/krrish,Krrish,2006,2016,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama']"
9111,m/krrish_3,Krrish 3,2013,2016,Fresh,Spilled,"['Action & Adventure', 'Art House & International', 'Science Fiction & Fantasy', 'Romance']"
9112,m/krull,Krull,1983,2012,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
9113,m/krush_groove,Krush Groove,1985,2016,Rotten,Upright,"['Drama', 'Musical & Performing Arts']"
9114,m/krystal,Krystal,2018,2018,Rotten,Spilled,"['Comedy', 'Drama']"
9115,m/kubo_and_the_two_strings_2016,Kubo and the Two Strings,2016,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Science Fiction & Fantasy']"
9116,m/kuffs,Kuffs,,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
9117,m/kull_the_conqueror,Kull the Conqueror,1997,2016,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
9118,m/kumare,Kumaré,2012,2016,Fresh,Upright,"['Documentary', 'Drama', 'Special Interest']"
9119,m/kumiko_the_treasure_hunter,"Kumiko, the Treasure Hunter",2015,2016,Certified-Fresh,Upright,['Drama']
9120,m/kundo_age_of_the_rampant,Kundo: Age of the Rampant,2014,2014,Fresh,Upright,['Action & Adventure']
9121,m/kung_fu_hustle,Kung Fu Hustle,2005,2012,Certified-Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Romance']"
9122,m/kung_fu_killer_2015,Kung Fu Killer,2015,2015,Fresh,Spilled,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
9123,m/kung_fu_panda,Kung Fu Panda,2008,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Kids & Family']"
9124,m/kung_fu_panda_3,Kung Fu Panda 3,2016,2016,Certified-Fresh,Upright,['Animation']
9125,m/kung_fu_panda_the_kaboom_of_doom,Kung Fu Panda 2,2011,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']"
9126,m/kung_fu_yoga,Kung-Fu Yoga,2017,2017,,Spilled,"['Action & Adventure', 'Comedy']"
9127,m/kung_pow,Kung Pow! Enter the Fist,,2015,Rotten,Upright,"['Action & Adventure', 'Comedy']"
9128,m/kurt_and_courtney,Kurt & Courtney,1998,2016,Fresh,Spilled,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
9129,m/kurt_cobain_about_a_son,Kurt Cobain: About a Son,2007,2014,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
9130,m/kurt_cobain_montage_of_heck_2015,Kurt Cobain: Montage Of Heck,2015,2016,Certified-Fresh,Upright,['Documentary']
9131,m/kwaidan,Kaidan (Kwaidan) (Ghost Stories),1964,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Horror', 'Science Fiction & Fantasy', 'Special Interest', 'Romance']"
9132,m/kwik_stop,Kwik Stop,2001,2015,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
9133,m/kyun_ho_gaya_na,Kyun...! Ho Gaya Na,2004,2015,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama']"
9134,m/l-aveu-the-confession,The Confession,1970,2014,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9135,m/l-iceberg,L'Iceberg,2005,2020,Fresh,Upright,"['Art House & International', 'Comedy']"
9136,m/la-doppia-ora,The Double Hour,2011,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9137,m/la_bamba,La Bamba,1987,2014,Certified-Fresh,Upright,"['Drama', 'Musical & Performing Arts']"
9138,m/la_belle_endormie,La belle endormie (The Sleeping Beauty),2011,2016,Fresh,,"['Art House & International', 'Drama']"
9139,m/la_belle_noiseuse,La Belle Noiseuse,1991,,Fresh,Upright,"['Art House & International', 'Drama']"
9140,m/la_bete_humaine,La Bête Humaine (Judas Was a Woman)(The Human Beast),1938,2006,Fresh,Upright,"['Art House & International', 'Drama']"
9141,m/la_cage_aux_folles,La Cage aux Folles,1979,2017,Fresh,Upright,"['Art House & International', 'Comedy']"
9142,m/la_cage_aux_folles_ii,La Cage aux Folles II,1981,2017,Fresh,Spilled,"['Art House & International', 'Comedy']"
9143,m/la_cara_oculta,La Cara Oculta,2012,2015,Fresh,Upright,"['Art House & International', 'Mystery & Suspense']"
9144,m/la_chambre_bleue,The Blue Room (La chambre bleue),2014,2017,Certified-Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
9145,m/la_chevre,La Chèvre (The Goat) (Knock on Wood),1981,2017,Rotten,Upright,"['Action & Adventure', 'Art House & International', 'Comedy']"
9146,m/la_chinoise,La Chinoise,1968,2018,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9147,m/la_cienaga,La Cienaga,2001,2017,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9148,m/la_confidential,L.A. Confidential,1997,2015,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
9149,m/la_dame_dans_lauto_avec_un_fusil_et_des_lunettes,The Lady in the Car with Glasses and a Gun (La dame dans l'auto avec un fusil et des lunettes),2015,2017,Fresh,Spilled,"['Art House & International', 'Mystery & Suspense']"
9150,m/la_delicatesse,La délicatesse (Delicacy),2012,2016,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama', 'Romance']"
9151,m/la_fee,La fée (The Fairy),2012,2016,Certified-Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama']"
9152,m/la_femme_nikita,La Femme Nikita (Nikita),1990,2018,Certified-Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense', 'Romance']"
9153,m/la_france,La France,2008,2017,Fresh,Spilled,['Drama']
9154,m/la_grande_illusion,La Grande illusion (Grand Illusion),1938,2016,Certified-Fresh,Upright,"['Art House & International', 'Classics', 'Drama']"
9155,m/la_haine,La Haine,1996,2017,Fresh,Upright,"['Art House & International', 'Drama']"
9156,m/la_la_land,La La Land,2016,2017,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Musical & Performing Arts']"
9157,m/la_leyenda_del_chupacabras,The Legend of the Chupacabras (La Leyenda del Chupacabras),2016,2017,Rotten,Spilled,"['Action & Adventure', 'Animation', 'Horror', 'Kids & Family']"
9158,m/la_maison_de_la_radio,La Maison De La Radio,2013,2017,Fresh,Spilled,"['Documentary', 'Special Interest']"
9159,m/la_mujer_de_mi_hermano,La mujer de mi hermano,2006,2016,Rotten,Spilled,"['Art House & International', 'Drama', 'Special Interest']"
9160,m/la_nouvelle_guerre_des_boutons,La nouvelle guerre des boutons (War of the Buttons),2012,2016,Rotten,Spilled,"['Action & Adventure', 'Art House & International']"
9161,m/la_petite_lili,La Petite Lili,2004,2015,Fresh,Spilled,"['Art House & International', 'Drama', 'Romance']"
9162,m/la_princesse_de_montpensier,La princesse de Montpensier (The Princess of Montpensier),2011,2017,Certified-Fresh,Spilled,"['Action & Adventure', 'Art House & International', 'Drama']"
9163,m/la_promesse,La Promesse (The Promise),1996,2017,Fresh,Upright,"['Art House & International', 'Drama']"
9164,m/la_religieuse_2013,La religieuse (The Nun),,2016,Fresh,Spilled,['Drama']
9165,m/la_sapienza,La Sapienza,2015,2016,Fresh,Spilled,['Drama']
9166,m/la_scorta,La Scorta,1994,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9167,m/la_sierra,La Sierra,2005,2016,Fresh,Upright,"['Art House & International', 'Documentary', 'Drama', 'Special Interest']"
9168,m/la_slasher,L.A. Slasher,2015,2016,Rotten,Spilled,"['Comedy', 'Science Fiction & Fantasy']"
9169,m/la_story,L.A. Story,1991,2016,Fresh,Upright,['Comedy']
9170,m/la_terra_trema,La Terra trema,1948,2016,Fresh,Upright,"['Art House & International', 'Drama']"
9171,m/la_tete_en_friche,La tête en friche (My Afternoons with Margueritte),2011,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9172,m/la_vie_en_rose,La Vie en Rose (La Mome),2007,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
9173,m/labor_day_2013,Labor Day,2014,2015,Rotten,Spilled,"['Drama', 'Romance']"
9174,m/labyrinth,Labyrinth,1986,2011,Fresh,Upright,"['Action & Adventure', 'Cult Movies', 'Kids & Family', 'Science Fiction & Fantasy']"
9175,m/ladder_49,Ladder 49,2004,2016,Rotten,Upright,"['Action & Adventure', 'Drama']"
9176,m/ladies_and_gentlemen_the_fabulous_stains,Ladies and Gentlemen: The Fabulous Stains,1981,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts']"
9177,m/ladies_in_black,Ladies in Black,,2019,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9178,m/ladies_in_lavender,Ladies in Lavender,2005,2017,Fresh,Upright,"['Comedy', 'Drama']"
9179,m/ladron_que_roba_a_ladron_2007,Ladrón que Roba a Ladrón,2007,2016,Fresh,Upright,"['Action & Adventure', 'Drama']"
9180,m/lady_and_the_tramp,Lady and the Tramp,1955,2018,Certified-Fresh,Upright,"['Animation', 'Drama', 'Kids & Family']"
9181,m/lady_and_the_tramp_ii_scamps_adventure,Lady and the Tramp II: Scamp's Adventure,2000,2018,Rotten,Spilled,"['Animation', 'Kids & Family']"
9182,m/lady_bird,Lady Bird,2017,2018,Certified-Fresh,Upright,"['Comedy', 'Drama']"
9183,m/lady_eve,The Lady Eve,1941,2014,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Romance']"
9184,m/lady_in_a_cage,Lady in a Cage,1964,2016,Rotten,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
9185,m/lady_in_the_lake,Lady in the Lake,,2012,Fresh,Spilled,"['Classics', 'Drama', 'Mystery & Suspense']"
9186,m/lady_in_the_water,Lady in the Water,2006,2009,Rotten,Spilled,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
9187,m/lady_in_white,Lady in White,1988,2017,Fresh,Upright,"['Horror', 'Mystery & Suspense']"
9188,m/lady_j,Lady J (Mademoiselle de Joncquières),,2019,Fresh,Upright,['Drama']
9189,m/lady_jane,Lady Jane,1986,2016,Rotten,Upright,['Drama']
9190,m/lady_l,Lady L,1965,2017,Rotten,Spilled,['Comedy']
9191,m/lady_macbeth,Lady Macbeth,2017,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
9192,m/lady_on_a_train,Lady on a Train,1945,2017,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Mystery & Suspense']"
9193,m/lady_snowblood,Lady Snowblood (Shurayukihime),2005,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9194,m/ladybugs,Ladybugs,1992,2017,Rotten,Spilled,"['Comedy', 'Kids & Family']"
9195,m/ladyhawke,Ladyhawke,1985,2008,Fresh,Upright,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy', 'Romance']"
9196,m/ladykillers,The Ladykillers,2004,2016,Rotten,Spilled,"['Comedy', 'Drama']"
9197,m/ladyworld,Ladyworld,2019,2019,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
9198,m/lagaan_once_upon_a_time_in_india,Lagaan: Once Upon a Time in India,2001,2017,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts']"
9199,m/lagerfeld_confidential,Lagerfeld Confidential,2007,2008,Rotten,Spilled,"['Documentary', 'Special Interest']"
9200,m/laggies,Laggies,2014,2016,Fresh,Spilled,['Drama']
9201,m/lair_of_the_white_worm,The Lair of the White Worm,1988,2016,Fresh,Spilled,"['Art House & International', 'Horror']"
9202,m/lake_city,Lake City,2008,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
9203,m/lake_house,The Lake House,2006,2016,Rotten,Upright,"['Drama', 'Romance']"
9204,m/lake_michigan_monster,Lake Michigan Monster,,2020,Fresh,,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
9205,m/lake_of_fire,Lake of Fire,2007,2019,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
9206,m/lake_placid,Lake Placid,,2017,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Horror', 'Mystery & Suspense']"
9207,m/lake_tahoe,Lake Tahoe,2008,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9208,m/lakeboat,Lakeboat,2000,2017,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9209,m/lamb_2016,Lamb,2016,2016,Fresh,Spilled,['Drama']
9210,m/lamb_of_gods_as_the_palaces_burn,Lamb Of God's As The Palaces Burn,2014,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
9211,m/lambert_and_stamp,Lambert & Stamp,2015,2016,Certified-Fresh,Spilled,"['Documentary', 'Special Interest']"
9212,m/land_ho,Land Ho!,2014,2016,Certified-Fresh,Spilled,"['Action & Adventure', 'Comedy']"
9213,m/land_of_mine,Land of Mine (Under Sandet),2017,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
9214,m/land_of_silence_and_darkness_1971,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),1973,2016,Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
9215,m/land_of_the_dead,Land of the Dead,2005,2016,Certified-Fresh,Spilled,"['Action & Adventure', 'Drama', 'Horror', 'Mystery & Suspense']"
9216,m/land_of_the_pharaohs,Land of the Pharaohs,1955,2013,Fresh,Spilled,"['Action & Adventure', 'Classics', 'Drama']"
9217,m/landline,Landline,2017,2017,Certified-Fresh,Upright,['Comedy']
9218,m/lansdown,Lansdown,2002,2016,Rotten,,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']"
9219,m/lansky,Lansky,1998,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
9220,m/lantana,Lantana,2002,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
9221,m/lara_croft_tomb_raider,Lara Croft - Tomb Raider,2001,2013,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
9222,m/lara_croft_tomb_raider_the_cradle_of_life,Lara Croft Tomb Raider - The Cradle of Life,2003,2013,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
9223,m/laramie_project,The Laramie Project,2002,2016,Fresh,Upright,['Drama']
9224,m/largent,L'Argent,1983,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9225,m/larger_than_life,Larger Than Life,1996,2016,Rotten,Spilled,"['Comedy', 'Kids & Family']"
9226,m/larnacoeur,Heartbreaker (L'Arnacoeur),2010,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Romance']"
9227,m/larry_crowne,Larry Crowne,2011,2014,Rotten,Spilled,"['Comedy', 'Drama']"
9228,m/larry_the_cable_guy_health_inspector,Larry the Cable Guy: Health Inspector,2006,2017,Rotten,Spilled,['Comedy']
9229,m/lassie,Lassie,2006,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Kids & Family']"
9230,m/lassie_come_home,Lassie Come Home,1943,2016,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Kids & Family']"
9231,m/lassiter,Lassiter,1984,2017,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
9232,m/lasso,Lasso,,2018,Fresh,Upright,['Horror']
9233,m/last_action_hero,Last Action Hero,1993,2012,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']"
9234,m/last_airbender,The Last Airbender,2010,2013,Rotten,Spilled,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']"
9235,m/last_boy_scout,The Last Boy Scout,1991,2008,Rotten,Upright,"['Action & Adventure', 'Drama']"
9236,m/last_call_at_the_oasis,Last Call at the Oasis,2012,2017,Fresh,Upright,['Documentary']
9237,m/last_castle,The Last Castle,2001,2013,Rotten,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
9238,m/last_chance_harvey,Last Chance Harvey,2009,2017,Certified-Fresh,Spilled,"['Drama', 'Romance']"
9239,m/last_day_of_summer-2009,Last Day of Summer,2010,2017,Rotten,Spilled,"['Comedy', 'Drama']"
9240,m/last_days,Last Days,2005,2014,Rotten,Spilled,"['Drama', 'Musical & Performing Arts']"
9241,m/last_days_here_2011,Last Days Here,2012,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
9242,m/last_days_in_the_desert,Last Days In The Desert,2016,2016,Certified-Fresh,Spilled,"['Action & Adventure', 'Drama']"
9243,m/last_days_in_vietnam,Last Days in Vietnam,2014,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
9244,m/last_days_of_disco,Last Days of Disco,1998,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Romance']"
9245,m/last_detail,The Last Detail,1973,2012,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
9246,m/last_emperor,The Last Emperor,1987,2017,Certified-Fresh,Upright,"['Classics', 'Drama']"
9247,m/last_exorcism,The Last Exorcism,2010,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
9248,m/last_flag_flying,Last Flag Flying,2017,2018,Certified-Fresh,Upright,"['Comedy', 'Drama']"
9249,m/last_flight_of_noahs_ark,The Last Flight of Noah's Ark,1980,2015,Rotten,Spilled,"['Action & Adventure', 'Kids & Family']"
9250,m/last_hijack,Last Hijack,2014,2016,Fresh,Spilled,"['Animation', 'Documentary', 'Special Interest']"
9251,m/last_holiday,Last Holiday,1950,2014,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
9252,m/last_holiday_2006,Last Holiday,2006,2016,Rotten,Upright,"['Action & Adventure', 'Comedy', 'Drama']"
9253,m/last_house_on_the_left,The Last House on the Left,1972,2017,Fresh,Spilled,"['Classics', 'Cult Movies', 'Horror']"
9254,m/last_hurrah,The Last Hurrah,1958,2012,Fresh,Upright,"['Classics', 'Documentary', 'Drama']"
9255,m/last_king_of_scotland,The Last King of Scotland,2006,2015,Certified-Fresh,Upright,['Drama']
9256,m/last_kiss,The Last Kiss,2006,2017,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
9257,m/last_knights,Last Knights,2015,2016,Rotten,Spilled,['Action & Adventure']
9258,m/last_legion,The Last Legion,2007,2016,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Drama']"
9259,m/last_love,Last Love,2013,2017,Rotten,Spilled,"['Comedy', 'Drama']"
9260,m/last_man_standing,Last Man Standing,1996,2013,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
9261,m/last_men_in_aleppo,Last Men in Aleppo,,2017,Fresh,Upright,"['Art House & International', 'Documentary']"
9262,m/last_mogul,The Last Mogul (Life and Times of Lew Wasserman),2005,2016,Fresh,Spilled,"['Documentary', 'Television']"
9263,m/last_new_yorker,The Last New Yorker,2010,2017,Rotten,Spilled,['Drama']
9264,m/last_of_sheila,The Last of Sheila,1973,2012,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']"
9265,m/last_of_the_red_hot_lovers,Last of the Red Hot Lovers,1972,2016,Rotten,Upright,['Comedy']
9266,m/last_ounce_of_courage,Last Ounce of Courage,2012,2012,Rotten,Upright,['Drama']
9267,m/last_passenger,Last Passenger,,2016,Fresh,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
9268,m/last_picture_show,The Last Picture Show,1971,2014,Certified-Fresh,Upright,"['Classics', 'Drama']"
9269,m/last_rampage,Last Rampage,2017,2017,Fresh,Spilled,['Drama']
9270,m/last_samurai,The Last Samurai,2003,2011,Fresh,Upright,"['Action & Adventure', 'Drama']"
9271,m/last_shift,Last Shift,2015,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
9272,m/last_sin_eater,The Last Sin Eater,2007,2018,Rotten,Upright,['Drama']
9273,m/last_stand_2013,The Last Stand,2013,2015,Fresh,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
9274,m/last_station,The Last Station,2010,2012,Fresh,Upright,['Drama']
9275,m/last_summer_in_the_hamptons,Last Summer in the Hamptons,1995,2016,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama']"
9276,m/last_tango_in_paris,Last Tango in Paris,1972,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Romance']"
9277,m/last_temptation_of_christ,The Last Temptation of Christ,1988,2015,Certified-Fresh,Upright,['Drama']
9278,m/last_time_i_saw_paris,The Last Time I Saw Paris,1954,2012,Fresh,Spilled,"['Classics', 'Drama', 'Romance']"
9279,m/last_train_from_gun_hill,Last Train from Gun Hill,,2016,Fresh,Upright,"['Classics', 'Western']"
9280,m/last_train_home-2009,Last Train Home,2010,2017,Certified-Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
9281,m/last_tycoon,The Last Tycoon,1976,2016,Rotten,Spilled,"['Drama', 'Romance']"
9282,m/last_unicorn,The Last Unicorn,1982,2016,Fresh,Upright,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
9283,m/last_vegas_2013,Last Vegas,2013,2015,Rotten,Spilled,['Comedy']
9284,m/last_voyage,The Last Voyage,1960,2009,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
9285,m/last_wave,The Last Wave,1977,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
9286,m/last_weekend,Last Weekend,2014,2016,Rotten,Spilled,['Comedy']
9287,m/last_winter,The Last Winter,2007,2016,Certified-Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
9288,m/last_year_at_marienbad,Last Year at Marienbad (L'année dernière à Marienbad),1961,2016,Certified-Fresh,Upright,"['Science Fiction & Fantasy', 'Special Interest']"
9289,m/latalante,L'Atalante,1934,2017,Fresh,Upright,"['Art House & International', 'Classics', 'Drama', 'Romance']"
9290,m/late_bloomers,Late Bloomers,1997,2016,Rotten,Spilled,"['Comedy', 'Romance']"
9291,m/late_for_dinner,Late for Dinner,1991,2017,Rotten,Upright,"['Comedy', 'Drama', 'Science Fiction & Fantasy']"
9292,m/late_marriage,Late Marriage,2002,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
9293,m/late_phases_2014,Late Phases,2014,2016,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
9294,m/late_show,The Late Show,1977,2008,Fresh,Upright,"['Comedy', 'Drama', 'Mystery & Suspense']"
9295,m/latter_days,Latter Days,2004,2017,Rotten,Upright,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian']"
9296,m/laugh_killer_laugh,Laugh Killer Laugh,2015,2015,Rotten,Spilled,['Mystery & Suspense']
9297,m/laura_smiles,Laura Smiles,2006,2017,Rotten,Spilled,['Drama']
9298,m/laurel_canyon,Laurel Canyon,2003,2012,Fresh,Spilled,"['Art House & International', 'Drama']"
9299,m/laurence_anyways,Laurence Anyways,2013,2017,Certified-Fresh,Upright,['Drama']
9300,m/lavender,Lavender,2017,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
9301,m/lavender_hill_mob,The Lavender Hill Mob,1951,2016,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
9302,m/lavventura,L'Avventura,1960,2015,Certified-Fresh,Upright,"['Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']"
9303,m/law_abiding_citizen,Law Abiding Citizen,2009,2016,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
9304,m/law_of_desire,Law of Desire,1987,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense', 'Romance']"
9305,m/lawless_2012,Lawless,2012,2017,Fresh,Upright,['Drama']
9306,m/lawless_heart,Lawless Heart,2002,,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
9307,m/lawman,Lawman,1971,2016,Fresh,Upright,"['Action & Adventure', 'Classics', 'Western']"
9308,m/lawnmower_man,The Lawnmower Man,1992,2017,Rotten,Spilled,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
9309,m/lawnmower_man_2_jobes_war,Lawnmower Man 2 - Jobe's War (Lawnmower Man 2: Beyond Cyberspace),1996,2011,Rotten,Spilled,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
9310,m/lawrence_of_arabia,Lawrence of Arabia,1962,2013,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
9311,m/laws_of_attraction,Laws of Attraction,2004,2012,Rotten,Spilled,"['Comedy', 'Romance']"
9312,m/lay_the_favorite,Lay the Favorite,2012,2016,Rotten,Spilled,"['Comedy', 'Drama']"
9313,m/layer_cake,Layer Cake,2005,2012,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
9314,m/lazarus_project,The Lazarus Project,2008,2013,Fresh,Spilled,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
