,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
119,m/10008744-canvas,Canvas,2007,2016,Fresh,Upright,['Drama']
120,m/10008747-skid_row,Skid Row,2007,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
121,m/10008748-saawariya,Saawariya,2007,2012,Rotten,Spilled,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']"
122,m/10008752-aaja_nachle,Aaja Nachle,2007,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']"
123,m/10008754-flawless,Flawless,2008,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
124,m/10008760-what_happens_in_vegas,What Happens in Vegas,2008,2012,Rotten,Upright,"['Comedy', 'Romance']"
125,m/10008785-appaloosa,Appaloosa,2008,2010,Certified-Fresh,Spilled,"['Action & Adventure', 'Western']"
126,m/10008786-good,Good,2008,2016,Rotten,Spilled,['Drama']
127,m/10008820-visitor,The Visitor,2008,2017,Certified-Fresh,Upright,['Drama']
128,m/10008830-bill,Meet Bill,2008,2016,Rotten,Spilled,['Comedy']
129,m/10008849-married_life,Married Life,2008,2014,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense', 'Romance']"
130,m/10008856-badland,Badland,2007,2017,Rotten,Spilled,['Drama']
131,m/10008924-oxford_murders,The Oxford Murders,2010,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']"
132,m/10008954-untraceable,Untraceable,2008,2012,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
133,m/10008991-informers,The Informers,2009,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
134,m/10008992-meeting_resistance,Meeting Resistance,2007,2008,Fresh,Spilled,"['Documentary', 'Special Interest']"
135,m/10009001-the_freshman,The Freshman,1990,2013,Certified-Fresh,Upright,"['Comedy', 'Drama']"
136,m/10009005-a_bloody_aria,Guta-yubalja-deul (A Bloody Aria),2006,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
137,m/10009029-kenny,Kenny,2008,2020,Fresh,Upright,['Comedy']
138,m/10009055-rocker,The Rocker,2008,2015,Rotten,Spilled,"['Comedy', 'Drama']"
139,m/10009063-perfect_holiday,The Perfect Holiday,2007,2012,Rotten,Spilled,"['Kids & Family', 'Romance']"
140,m/10009066-la_graine_et_le_mulet,La Graine et le Mulet (The Secret of the Grain) (Couscous),2007,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
141,m/10009083-land_of_the_lost,Land of the Lost,2009,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']"
142,m/10009132-rec,[Rec],2007,2012,Fresh,Upright,"['Art House & International', 'Horror', 'Special Interest']"
143,m/10009138-look,Look,2007,2009,Fresh,Spilled,"['Comedy', 'Drama']"
144,m/1000915-and_god_created_woman,And God Created Woman,1988,2016,Rotten,Spilled,"['Classics', 'Comedy', 'Drama', 'Romance']"
145,m/10009151-box,The Box,2009,2011,Rotten,Spilled,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
146,m/10009169-man_in_the_chair,Man in the Chair,2007,2016,Rotten,Upright,"['Comedy', 'Drama']"
147,m/10009172-undoing,Undoing,2006,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
148,m/10009176-black_water,Black Water,2008,2012,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
149,m/10009192-21,21,2008,2012,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
150,m/10009210-duchess_of_langeais,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),2007,2017,Fresh,Spilled,"['Art House & International', 'Drama', 'Romance']"
151,m/10009212-ben_x,Ben X,2007,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
152,m/10009225-body_of_lies,Body of Lies,2008,2010,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
153,m/10009239-passengers,Passengers,2008,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
154,m/10009244-the_grand,The Grand,2008,2015,Rotten,Spilled,['Comedy']
155,m/10009253-the_hammer,The Hammer,2007,2016,Certified-Fresh,Upright,['Comedy']
156,m/10009254-shutter,Shutter,2008,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
157,m/10009274-priest,Priest,2011,2012,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Western']"
158,m/10009323-broken,The Broken,,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
159,m/10009334-the_escapist,The Escapist,2008,2017,Fresh,Upright,"['Art House & International', 'Mystery & Suspense']"
160,m/10009355-sugar,Sugar,2008,2012,Certified-Fresh,Upright,"['Drama', 'Sports & Fitness']"
161,m/10009420-quid_pro_quo,Quid Pro Quo,2008,2016,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
162,m/10009421-red,Red,2008,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
163,m/10009426-guitar,The Guitar,2008,2009,Rotten,Spilled,['Drama']
